# wavelength [micron], EQE [1]
2.999999999999999889e-01,4.962850281938749244e-04
3.044088176352705566e-01,1.844124570330987235e-03
3.088176352705410688e-01,6.600600646803608806e-03
3.132264529058116365e-01,2.266705481325763383e-02
3.176352705410821486e-01,7.429861155741365741e-02
3.220440881763527163e-01,1.651787362748494137e-01
3.264529058116232285e-01,2.402512119461870654e-01
3.308617234468937962e-01,3.352107666583207801e-01
3.352705410821643084e-01,4.204128769902055751e-01
3.396793587174348761e-01,5.025618853316656809e-01
3.440881763527053883e-01,5.532728356729663677e-01
3.484969939879759560e-01,5.915811476196031204e-01
3.529058116232464681e-01,6.188593842153552460e-01
3.573146292585170358e-01,6.439970569713856507e-01
3.617234468937875480e-01,6.680882960403016213e-01
3.661322645290581157e-01,6.859615356171271383e-01
3.705410821643286834e-01,6.986868282431777377e-01
3.749498997995991956e-01,7.023118091388937945e-01
3.793587174348697078e-01,7.015155357875622055e-01
3.837675350701402754e-01,7.027274751410844678e-01
3.881763527054108431e-01,7.045950066796851097e-01
3.925851703406813553e-01,7.072262815197631891e-01
3.969939879759519230e-01,7.117140794499938750e-01
4.014028056112224352e-01,7.179735886955888047e-01
4.058116232464930029e-01,7.231983808643593914e-01
4.102204408817635151e-01,7.256556293369134103e-01
4.146292585170340828e-01,7.289112760299829574e-01
4.190380761523045949e-01,7.312967581381972781e-01
4.234468937875751626e-01,7.347805118449977080e-01
4.278557114228457303e-01,7.372528100536249740e-01
4.322645290581162425e-01,7.371044894443486983e-01
4.366733466933867547e-01,7.336254248653886201e-01
4.410821643286573224e-01,7.276221777281229874e-01
4.454909819639278901e-01,7.205149857856876228e-01
4.498997995991984022e-01,7.136589599313671872e-01
4.543086172344689144e-01,7.068115802380613433e-01
4.587174348697394821e-01,7.001858871718330546e-01
4.631262525050100498e-01,6.922389949693815714e-01
4.675350701402805620e-01,6.821452663475453537e-01
4.719438877755510742e-01,6.694227642323906657e-01
4.763527054108216419e-01,6.547367918513372631e-01
4.807615230460922096e-01,6.404481999603034437e-01
4.851703406813627772e-01,6.281877849911121636e-01
4.895791583166332894e-01,6.163548662478423035e-01
4.939879759519038016e-01,6.027727476669093587e-01
4.983967935871743693e-01,5.884616915322229413e-01
5.028056112224449370e-01,5.694785619561968382e-01
5.072144288577153937e-01,5.468319529973897364e-01
5.116232464929859614e-01,5.216773920805495290e-01
5.160320641282565290e-01,4.922003306595405525e-01
5.204408817635270967e-01,4.593334839391300939e-01
5.248496993987976644e-01,4.274470324618352413e-01
5.292585170340681211e-01,3.927503367227256348e-01
5.336673346693386888e-01,3.602563804573750139e-01
5.380761523046092565e-01,3.287763373789364119e-01
5.424849699398797132e-01,3.058467063651999496e-01
5.468937875751502808e-01,2.908765680946608922e-01
5.513026052104208485e-01,2.783464919949159566e-01
5.557114228456914162e-01,2.686331848849526915e-01
5.601202404809619839e-01,2.646900245088037451e-01
