# wavelength [micron], T [1], R_f [1], R_b [1]
2.999999999999999889e-01,9.779856889977800394e-44,4.733968245098788691e-02,4.137005613777234858e-01
3.044088176352705566e-01,3.135066951539911264e-42,4.722557663188683280e-02,4.301558054103889472e-01
3.088176352705410688e-01,7.275790087844350914e-41,4.716890709798444992e-02,4.522691617552804244e-01
3.132264529058116365e-01,1.357369874653635729e-39,4.728348752738174843e-02,4.755701776876612996e-01
3.176352705410821486e-01,1.802662731865002638e-38,4.785350196905895082e-02,5.007462402430887805e-01
3.220440881763527163e-01,8.524522449340655822e-38,4.860533811178265745e-02,5.225826556960740943e-01
3.264529058116232285e-01,1.412987263473658495e-37,4.846678158561233685e-02,5.400395922593619336e-01
3.308617234468937962e-01,1.717947676806115029e-37,4.782693261313815392e-02,5.521942136694664161e-01
3.352705410821643084e-01,1.492580663735288021e-37,4.992681252126549007e-02,5.570293603306533115e-01
3.396793587174348761e-01,1.199334523567370799e-37,6.421459114433224202e-02,5.531385988635787454e-01
3.440881763527053883e-01,1.065443246661129731e-37,9.387208041806230363e-02,5.396960014717036014e-01
3.484969939879759560e-01,1.247956438382709619e-37,1.300142452111072988e-01,5.163428564696158629e-01
3.529058116232464681e-01,2.071044279003667282e-37,1.574263290510467539e-01,4.833317381735539597e-01
3.573146292585170358e-01,9.026885884235625812e-34,1.702464600253957294e-01,4.421234098026939341e-01
3.617234468937875480e-01,3.826946324752144321e-11,1.706648677038148099e-01,3.948648915792930536e-01
3.661322645290581157e-01,2.190427163772984619e-09,1.619641874799565284e-01,3.444690448973345975e-01
3.705410821643286834e-01,8.887210838509369397e-08,1.483167484465218733e-01,2.942737381188690327e-01
3.749498997995991956e-01,7.797951391306898552e-07,1.308887184221815270e-01,2.471936961240182584e-01
3.793587174348697078e-01,6.551205328915718753e-06,1.148521219557959716e-01,2.052400593837208631e-01
3.837675350701402754e-01,3.228494882646321069e-05,1.017763880180709846e-01,1.691111127542247183e-01
3.881763527054108431e-01,1.415042440020305005e-04,9.084634645867130376e-02,1.387565692412537077e-01
3.925851703406813553e-01,4.751085442382393465e-04,7.990514102819977482e-02,1.128926498940222289e-01
3.969939879759519230e-01,1.403349826372338096e-03,6.924130828248473146e-02,9.077675804589688258e-02
4.014028056112224352e-01,4.034713438348313912e-03,6.000342028552314161e-02,7.281173396257729913e-02
4.058116232464930029e-01,9.276936770316981593e-03,5.288276511862342877e-02,5.909065780787240568e-02
4.102204408817635151e-01,1.772064494294343234e-02,4.841577449987755077e-02,4.925685497962906112e-02
4.146292585170340828e-01,2.767547319919468410e-02,4.703358654231487579e-02,4.203051052925430020e-02
4.190380761523045949e-01,4.249071075315744017e-02,4.821452183394855928e-02,3.718504068747197772e-02
4.234468937875751626e-01,5.664240169380068551e-02,5.123160756098088520e-02,3.530548782086947307e-02
4.278557114228457303e-01,6.744496279964341812e-02,5.629321821671020437e-02,3.853748710626002383e-02
4.322645290581162425e-01,7.558092808298645660e-02,6.448691872893369537e-02,4.752636113120214251e-02
4.366733466933867547e-01,8.119933063925612038e-02,7.553071563822549850e-02,5.810886931812267453e-02
4.410821643286573224e-01,8.446219614700836709e-02,8.709530909846079083e-02,6.432809100582231876e-02
4.454909819639278901e-01,8.878619093778776505e-02,9.718062359907099490e-02,6.427639155965449158e-02
4.498997995991984022e-01,9.257917503004774173e-02,1.041805997987356319e-01,5.629029523309713595e-02
4.543086172344689144e-01,9.845346416783991306e-02,1.081288280192900381e-01,4.462422908301146712e-02
4.587174348697394821e-01,1.049711284154735275e-01,1.100616827821295080e-01,3.276193968191472988e-02
4.631262525050100498e-01,1.121747851029667037e-01,1.114598911635238110e-01,2.484715258071704125e-02
4.675350701402805620e-01,1.197627896540333498e-01,1.137531541302603255e-01,2.340381120162765213e-02
4.719438877755510742e-01,1.276332027207587316e-01,1.179054590020199716e-01,2.893728909572560598e-02
4.763527054108216419e-01,1.354184984506648093e-01,1.239162629524813153e-01,4.013033849141221104e-02
4.807615230460922096e-01,1.424180634480911034e-01,1.304565846022541498e-01,5.420904390552486185e-02
4.851703406813627772e-01,1.493071193809058506e-01,1.359792467012338468e-01,6.805680231852721807e-02
4.895791583166332894e-01,1.585678329997070313e-01,1.390475123138029401e-01,7.937438439711347327e-02
4.939879759519038016e-01,1.722586336679875485e-01,1.389034479512164244e-01,8.691680496364923014e-02
4.983967935871743693e-01,1.889316489798089638e-01,1.350617134795384644e-01,8.878125492869563817e-02
5.028056112224449370e-01,2.104533955235015352e-01,1.280407720866454935e-01,8.422751055413998933e-02
5.072144288577153937e-01,2.366399101881841993e-01,1.181897721740580998e-01,7.375427996206772308e-02
5.116232464929859614e-01,2.672286251226284048e-01,1.064130593169322070e-01,5.979175708395832040e-02
5.160320641282565290e-01,3.025324753025885327e-01,9.468423894986817413e-02,4.543544427202184099e-02
5.204408817635270967e-01,3.388180014030737208e-01,8.528654969800085472e-02,3.308163224360460841e-02
5.248496993987976644e-01,3.705647524076448041e-01,8.016281219113972900e-02,2.564172808975590662e-02
5.292585170340681211e-01,4.007583247498794909e-01,7.982160876107419201e-02,2.421446331995033563e-02
5.336673346693386888e-01,4.272731234471189299e-01,8.215787666845190962e-02,2.746300516608410347e-02
5.380761523046092565e-01,4.527666961938093815e-01,8.425862777560363948e-02,3.299271389651237119e-02
5.424849699398797132e-01,4.734342811897369052e-01,8.271217086039395205e-02,3.742231997396241322e-02
5.468937875751502808e-01,4.908197852647515069e-01,7.658913805768934047e-02,3.960553803749575219e-02
